side,side,eta,phi,sector,TwinMux,TwinMux_link,TwinMux_bit,ring,BLANK
-1,-1,5,8,2,YB-1_S2,6,6,-1,BLANK
1,1,5,8,2,YB+1_S2,6,6,1,BLANK
-1,-1,6,8,2,YB-1_S2,6,3,-1,BLANK
1,1,6,8,2,YB+1_S2,6,3,1,BLANK
-1,-1,7,8,2,YB-1_S2,6,0,-1,BLANK
1,1,7,8,2,YB+1_S2,6,0,1,BLANK
-1,-1,8,8,2,YB-1_S2,7,35,-1,BLANK
1,1,8,8,2,YB+1_S2,7,35,1,BLANK
-1,-1,9,8,2,YB-1_S2,7,32,-1,BLANK
1,1,9,8,2,YB+1_S2,7,32,1,BLANK
-1,-1,10,8,2,YB-1_S2,7,29,-1,BLANK
1,1,10,8,2,YB+1_S2,7,29,1,BLANK
-1,-1,11,8,2,YB-2_S2,6,12,-2,BLANK
1,1,11,8,2,YB+2_S2,6,12,2,BLANK
-1,-1,12,8,2,YB-2_S2,6,9,-2,BLANK
1,1,12,8,2,YB+2_S2,6,9,2,BLANK
-1,-1,13,8,2,YB-2_S2,6,6,-2,BLANK
1,1,13,8,2,YB+2_S2,6,6,2,BLANK
-1,-1,14,8,2,YB-2_S2,6,3,-2,BLANK
1,1,14,8,2,YB+2_S2,6,3,2,BLANK
-1,-1,15,8,2,YB-2_S2,6,0,-2,BLANK
1,1,15,8,2,YB+2_S2,6,0,2,BLANK
-1,-1,1,9,2,YB0_S2,7,39,0,BLANK
1,1,1,9,2,YB0_S2,6,6,0,BLANK
-1,-1,2,9,2,YB0_S2,6,7,0,BLANK
1,1,2,9,2,YB0_S2,6,1,0,BLANK
-1,-1,3,9,2,YB0_S2,7,40,0,BLANK
1,1,3,9,2,YB0_S2,6,0,0,BLANK
-1,-1,4,9,2,YB0_S2,7,38,0,BLANK
1,1,4,9,2,YB0_S2,7,29,0,BLANK
-1,-1,5,9,2,YB-1_S2,6,7,-1,BLANK
1,1,5,9,2,YB+1_S2,6,7,1,BLANK
-1,-1,6,9,2,YB-1_S2,6,4,-1,BLANK
1,1,6,9,2,YB+1_S2,6,4,1,BLANK
-1,-1,7,9,2,YB-1_S2,6,1,-1,BLANK
1,1,7,9,2,YB+1_S2,6,1,1,BLANK
-1,-1,8,9,2,YB-1_S2,7,36,-1,BLANK
1,1,8,9,2,YB+1_S2,7,36,1,BLANK
-1,-1,9,9,2,YB-1_S2,7,33,-1,BLANK
1,1,9,9,2,YB+1_S2,7,33,1,BLANK
-1,-1,10,9,2,YB-1_S2,7,30,-1,BLANK
1,1,10,9,2,YB+1_S2,7,30,1,BLANK
-1,-1,11,9,2,YB-2_S2,6,13,-2,BLANK
1,1,11,9,2,YB+2_S2,6,13,2,BLANK
-1,-1,12,9,2,YB-2_S2,6,10,-2,BLANK
1,1,12,9,2,YB+2_S2,6,10,2,BLANK
-1,-1,13,9,2,YB-2_S2,6,7,-2,BLANK
1,1,13,9,2,YB+2_S2,6,7,2,BLANK
-1,-1,14,9,2,YB-2_S2,6,4,-2,BLANK
1,1,14,9,2,YB+2_S2,6,4,2,BLANK
-1,-1,15,9,2,YB-2_S2,6,1,-2,BLANK
1,1,15,9,2,YB+2_S2,6,1,2,BLANK
-1,-1,1,10,2,YB0_S2,7,36,0,BLANK
1,1,1,10,2,YB0_S2,6,3,0,BLANK
-1,-1,2,10,2,YB0_S2,6,4,0,BLANK
1,1,2,10,2,YB0_S2,6,5,0,BLANK
-1,-1,3,10,2,YB0_S2,7,37,0,BLANK
