sides,ring,sector,bigphi,phi,eta,LUT,bit
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-2,11,59,0,15,0x000,31
-1,-2,11,59,0,14,0x003,34
-1,-2,11,59,0,13,0x006,37
-1,-2,11,59,0,12,0x01C,40
-1,-2,11,59,0,11,0x070,43
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,60,1,15,0x100,30
-1,-2,11,60,1,14,0x103,33
-1,-2,11,60,1,13,0x106,36
-1,-2,11,60,1,12,0x11C,39
-1,-2,11,60,1,11,0x170,42
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,61,2,15,0x200,29
-1,-2,11,61,2,14,0x203,32
-1,-2,11,61,2,13,0x206,35
-1,-2,11,61,2,12,0x21C,38
-1,-2,11,61,2,11,0x270,41
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,62,3,15,0x300,2
-1,-2,11,62,3,14,0x303,5
-1,-2,11,62,3,13,0x306,8
-1,-2,11,62,3,12,0x31C,11
-1,-2,11,62,3,11,0x370,14
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,63,4,15,0x400,1
-1,-2,11,63,4,14,0x403,4
-1,-2,11,63,4,13,0x406,7
-1,-2,11,63,4,12,0x41C,10
-1,-2,11,63,4,11,0x470,13
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,64,5,15,0x500,0
-1,-2,11,64,5,14,0x503,3
-1,-2,11,64,5,13,0x506,6
-1,-2,11,64,5,12,0x51C,9
-1,-2,11,64,5,11,0x570,12
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
-1,-2,11,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-2,12,65,0,15,0x000,29
-1,-2,12,65,0,14,0x003,32
-1,-2,12,65,0,13,0x006,35
-1,-2,12,65,0,12,0x01C,38
-1,-2,12,65,0,11,0x070,41
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,66,1,15,0x100,30
-1,-2,12,66,1,14,0x103,33
-1,-2,12,66,1,13,0x106,36
-1,-2,12,66,1,12,0x11C,39
-1,-2,12,66,1,11,0x170,42
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,67,2,15,0x200,31
-1,-2,12,67,2,14,0x203,34
-1,-2,12,67,2,13,0x206,37
-1,-2,12,67,2,12,0x21C,40
-1,-2,12,67,2,11,0x270,43
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,68,3,15,0x300,0
-1,-2,12,68,3,14,0x303,3
-1,-2,12,68,3,13,0x306,6
-1,-2,12,68,3,12,0x31C,9
-1,-2,12,68,3,11,0x370,12
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,69,4,15,0x400,1
-1,-2,12,69,4,14,0x403,4
-1,-2,12,69,4,13,0x406,7
-1,-2,12,69,4,12,0x41C,10
-1,-2,12,69,4,11,0x470,13
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,70,5,15,0x500,2
-1,-2,12,70,5,14,0x503,5
-1,-2,12,70,5,13,0x506,8
-1,-2,12,70,5,12,0x51C,11
-1,-2,12,70,5,11,0x570,14
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
-1,-2,12,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-1,1,1,0,10,0x001,38
-1,-1,1,1,0,9,0x003,41
-1,-1,1,1,0,8,0x006,44
-1,-1,1,1,0,7,0x00C,9
-1,-1,1,1,0,6,0x030,12
-1,-1,1,1,0,5,0x060,15
-1,-1,1,-,-,-,-,-1
-1,-1,1,-,-,-,-,-1
-1,-1,1,2,1,10,0x101,31
-1,-1,1,2,1,9,0x103,34
-1,-1,1,2,1,8,0x106,37
-1,-1,1,2,1,7,0x10C,2
-1,-1,1,2,1,6,0x130,5
-1,-1,1,2,1,5,0x160,8
-1,-1,1,-,-,-,-,-1
-1,-1,1,-,-,-,-,-1
-1,-1,1,3,2,10,0x201,30
-1,-1,1,3,2,9,0x203,33
-1,-1,1,3,2,8,0x206,36
-1,-1,1,3,2,7,0x20C,1
-1,-1,1,3,2,6,0x230,4
-1,-1,1,3,2,5,0x260,7
-1,-1,1,-,-,-,-,-1
-1,-1,1,-,-,-,-,-1
-1,-1,1,4,3,10,0x301,29
-1,-1,1,4,3,9,0x303,32
-1,-1,1,4,3,8,0x306,35
-1,-1,1,4,3,7,0x30C,0
-1,-1,1,4,3,6,0x330,3
-1,-1,1,4,3,5,0x360,6
-1,-1,1,-,-,-,-,-1
-1,-1,1,-,-,-,-,-1
-1,-1,1,71,4,10,0x401,40
-1,-1,1,71,4,9,0x403,43
-1,-1,1,71,4,8,0x406,46
-1,-1,1,71,4,7,0x40C,11
-1,-1,1,71,4,6,0x430,14
-1,-1,1,71,4,5,0x460,17
-1,-1,1,-,-,-,-,-1
-1,-1,1,-,-,-,-,-1
-1,-1,1,72,5,10,0x501,39
-1,-1,1,72,5,9,0x503,42
-1,-1,1,72,5,8,0x506,45
-1,-1,1,72,5,7,0x50C,10
-1,-1,1,72,5,6,0x530,13
-1,-1,1,72,5,5,0x560,16
-1,-1,1,-,-,-,-,-1
